x, y, theta, stamp, 
1.3958131074905396, 0.6711212396621704, 1.122097658757473, 1729868028511651245, 
1.4009143114089966, 0.6814482808113098, 1.1349382690767984, 1729868028621396405, 
1.405308485031128, 0.6908823251724243, 1.1438396021156363, 1729868028721235777, 
1.4096094369888306, 0.7003481984138489, 1.1534181886096373, 1729868028821328459, 
1.4134505987167358, 0.7089742422103882, 1.161268883971882, 1729868028911278837, 
1.417990803718567, 0.719436764717102, 1.1708125218641756, 1729868029022925419, 
1.4218778610229492, 0.7285922169685364, 1.181612606958681, 1729868029121252325, 
1.4255996942520142, 0.7378236651420593, 1.194410877697858, 1729868029222157654, 
1.428887128829956, 0.7460039854049683, 1.2048495284275236, 1729868029311391297, 
1.4326401948928833, 0.7559126019477844, 1.2175943655535924, 1729868029423683896, 
1.4359782934188843, 0.7649990916252136, 1.2311951855881813, 1729868029521329563, 
1.437435507774353, 0.7692739367485046, 1.2381126795333957, 1729868029571726818, 
1.4404888153076172, 0.7781246304512024, 1.2483096130644713, 1729868029668404156, 
1.4451103210449219, 0.7920063734054565, 1.2686286717394146, 1729868029825285132, 
1.4475669860839844, 0.7999244332313538, 1.2804610715315488, 1729868029916273759, 
1.450290560722351, 0.8091237545013428, 1.2930839163922359, 1729868030022160288, 
1.4526718854904175, 0.817225456237793, 1.3033062365040766, 1729868030111919299, 
1.4552974700927734, 0.8268554210662842, 1.3160914193438764, 1729868030221599111, 
1.4572917222976685, 0.8353255987167358, 1.3280427727317792, 1729868030321352639, 
1.4594101905822754, 0.8435978293418884, 1.3400362047921504, 1729868030423171869, 
1.4612542390823364, 0.851427435874939, 1.351743215678254, 1729868030512130923, 
1.463049292564392, 0.8600550293922424, 1.364526340463049, 1729868030611503685, 
1.4651012420654297, 0.8694524765014648, 1.376183850266842, 1729868030721530093, 
1.4667972326278687, 0.8774701356887817, 1.3876931917069106, 1729868030817172371, 
1.4681718349456787, 0.8856610655784607, 1.3983615423919555, 1729868030911322002, 
1.4698373079299927, 0.8940495252609253, 1.4112289034561687, 1729868031013261151, 
1.4715293645858765, 0.9030998349189758, 1.4233779846339547, 1729868031121265039, 
1.4722133874893188, 0.9072129726409912, 1.4285568393643546, 1729868031172819885, 
1.4740912914276123, 0.9202814698219299, 1.447347939630328, 1729868031328709273, 
1.4747014045715332, 0.9266231060028076, 1.4576440902335381, 1729868031409486087, 
1.4757198095321655, 0.9355130195617676, 1.4709614015916774, 1729868031521253485, 
1.4765821695327759, 0.9429588913917542, 1.483214610107239, 1729868031619493504, 
1.477329134941101, 0.9518951773643494, 1.4973077995401574, 1729868031729572479, 
1.4778075218200684, 0.9581830501556396, 1.507640716812966, 1729868031810792994, 
1.4782041311264038, 0.9671311974525452, 1.519600525296159, 1729868031923897902, 
1.4785677194595337, 0.970740795135498, 1.5262710894336968, 1729868031970972663, 
1.4788800477981567, 0.9816449880599976, 1.5456416275259468, 1729868032113404576, 
1.4791042804718018, 0.9891241192817688, 1.5568823325908188, 1729868032211932249, 
1.4792481660842896, 0.9976834654808044, 1.5691185764836877, 1729868032321455738, 
1.4792332649230957, 1.0051027536392212, 1.5823285702714867, 1729868032421197194, 
1.4791717529296875, 1.0135618448257446, 1.5936281808711217, 1729868032531478963, 
1.4790012836456299, 1.0199968814849854, 1.6077288468166697, 1729868032622576805, 
1.4788013696670532, 1.0273144245147705, 1.6194535626231674, 1729868032721282420, 
1.4785386323928833, 1.03087317943573, 1.6262921036933762, 1729868032771570786, 
1.4778972864151, 1.0409290790557861, 1.6447866114767158, 1729868032912894848, 
1.4771140813827515, 1.0487855672836304, 1.6579582753127453, 1729868033021459056, 
1.4767616987228394, 1.0555700063705444, 1.6720101266856453, 1729868033121293124, 
1.476043701171875, 1.062081217765808, 1.6857157734470725, 1729868033222198560, 
1.4751662015914917, 1.068285346031189, 1.6960458763746642, 1729868033311225539, 
1.4742146730422974, 1.075494647026062, 1.711861004353752, 1729868033421347704, 
1.4733549356460571, 1.0823557376861572, 1.7245472328796678, 1729868033521274653, 
1.4724026918411255, 1.0886201858520508, 1.7374715577222146, 1729868033621198921, 
1.4711883068084717, 1.0946027040481567, 1.7478497324228308, 1729868033711765975, 
1.4699867963790894, 1.1016746759414673, 1.7625193375989494, 1729868033822405567, 
1.468795895576477, 1.1081122159957886, 1.7764924959108546, 1729868033921260140, 
1.4674513339996338, 1.1142390966415405, 1.7892542982182709, 1729868034021182800, 
1.466041088104248, 1.1198718547821045, 1.800620876754826, 1729868034111408503, 
1.464819073677063, 1.1260607242584229, 1.8136165383431901, 1729868034211425688, 
1.4631527662277222, 1.132472276687622, 1.8277209322476295, 1729868034317264921, 
1.461500644683838, 1.1386430263519287, 1.8405813077678066, 1729868034419150018, 
1.459790825843811, 1.1445897817611694, 1.8522767312032387, 1729868034516634614, 
1.4579432010650635, 1.1512960195541382, 1.8674568694823976, 1729868034626288651, 
1.4562678337097168, 1.156844139099121, 1.879470164277431, 1729868034721296553, 
1.4542858600616455, 1.16265070438385, 1.8921267921267548, 1729868034822155821, 
1.4526751041412354, 1.1677061319351196, 1.9042572141062617, 1729868034911418425, 
1.4503263235092163, 1.1743866205215454, 1.9173019865555152, 1729868035021559865, 
1.448290228843689, 1.1798007488250732, 1.9316710949204667, 1729868035121249185, 
1.4463058710098267, 1.1851835250854492, 1.9438067749635692, 1729868035217220735, 
1.4441332817077637, 1.1904404163360596, 1.9555034379181755, 1729868035311618758, 
1.441961646080017, 1.1961958408355713, 1.970330628815328, 1729868035412457450, 
1.439560055732727, 1.2018332481384277, 1.984137001533494, 1729868035521307902, 
1.4384247064590454, 1.204459309577942, 1.9910743181819774, 1729868035572514589, 
